movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
x-men origins: wolverine,action adventure fantasy sci-fi thriller,army civil war claw fight commando wolverine the character,hugh jackman,ryan reynolds,dominic monaghan,gavin hood,action adventure fantasy sci-fi thriller army civil war claw fight commando wolverine the character hugh jackman ryan reynolds dominic monaghan gavin hood
the matrix revolutions,action sci-fi,battle epic fight future machine,essie davis,collin chou,nona gaye,lana wachowski,action sci-fi battle epic fight future machine essie davis collin chou nona gaye lana wachowski
frozen,adventure animation comedy family fantasy musical,magic sister love sister sister relationship snow snowman,josh gad,maurice lamarche,livvy stubenrauch,chris buck,adventure animation comedy family fantasy musical magic sister love sister sister relationship snow snowman josh gad maurice lamarche livvy stubenrauch chris buck
the matrix reloaded,action sci-fi,car motorcycle chase one against many oracle prophecy stylized violence,steve bastoni,daniel bernhardt,helmut bakaitis,lana wachowski,action sci-fi car motorcycle chase one against many oracle prophecy stylized violence steve bastoni daniel bernhardt helmut bakaitis lana wachowski
thor: the dark world,action adventure fantasy,arrest portal thor warrior weapon,chris hemsworth,natalie portman,anthony hopkins,alan taylor,action adventure fantasy arrest portal thor warrior weapon chris hemsworth natalie portman anthony hopkins alan taylor
mad max: fury road,action adventure sci-fi thriller,australia desert escape on the run post apocalypse,tom hardy,charlize theron,zoë kravitz,george miller,action adventure sci-fi thriller australia desert escape on the run post apocalypse tom hardy charlize theron zoë kravitz george miller
angels & demons,mystery thriller,conclave illuminati murder reference to bernini reference to raphael,tom hanks,ayelet zurer,armin mueller-stahl,ron howard,mystery thriller conclave illuminati murder reference to bernini reference to raphael tom hanks ayelet zurer armin mueller-stahl ron howard
thor,action adventure fantasy,battle marvel cinematic universe scientist thor throne,chris hemsworth,natalie portman,anthony hopkins,kenneth branagh,action adventure fantasy battle marvel cinematic universe scientist thor throne chris hemsworth natalie portman anthony hopkins kenneth branagh
bolt,adventure animation comedy drama family,cat dog hamster new york city superpower,chloë grace moretz,diedrich bader,james lipton,byron howard,adventure animation comedy drama family cat dog hamster new york city superpower chloë grace moretz diedrich bader james lipton byron howard
g-force,action adventure animation comedy family fantasy sci-fi,fbi director guinea pig household appliance secret agent talking mouse,kelli garner,piper mackenzie harris,niecy nash,hoyt yeatman,action adventure animation comedy family fantasy sci-fi fbi director guinea pig household appliance secret agent talking mouse kelli garner piper mackenzie harris niecy nash hoyt yeatman
wrath of the titans,action adventure fantasy,ares hades titan underworld zeus,liam neeson,edgar ramírez,lily james,jonathan liebesman,action adventure fantasy ares hades titan underworld zeus liam neeson edgar ramírez lily james jonathan liebesman
dark shadows,comedy fantasy horror,camera shot of feet cartoon on tv female stockinged feet female stockinged soles foot closeup,johnny depp,chloë grace moretz,christopher lee,tim burton,comedy fantasy horror camera shot of feet cartoon on tv female stockinged feet female stockinged soles foot closeup johnny depp chloë grace moretz christopher lee tim burton
mission: impossible - rogue nation,action adventure thriller,capture computer hacker mission rogue agent spy,tom cruise,jeremy renner,sean harris,christopher mcquarrie,action adventure thriller capture computer hacker mission rogue agent spy tom cruise jeremy renner sean harris christopher mcquarrie
the wolfman,drama fantasy horror thriller,asylum death full moon transformation werewolf,anthony hopkins,simon merrells,art malik,joe johnston,drama fantasy horror thriller asylum death full moon transformation werewolf anthony hopkins simon merrells art malik joe johnston
the legend of tarzan,action adventure drama romance,africa capture jungle male objectification tarzan,christoph waltz,alexander skarsgård,casper crump,david yates,action adventure drama romance africa capture jungle male objectification tarzan christoph waltz alexander skarsgård casper crump david yates
bee movie,adventure animation comedy family,bee dream sequence egg scatological humor squashed bug,matthew broderick,oprah winfrey,rip torn,steve hickner,adventure animation comedy family bee dream sequence egg scatological humor squashed bug matthew broderick oprah winfrey rip torn steve hickner
kung fu panda 2,action adventure animation comedy family,china kung fu panda peacock tigress,angelina jolie pitt,gary oldman,mike bell,jennifer yuh nelson,action adventure animation comedy family china kung fu panda peacock tigress angelina jolie pitt gary oldman mike bell jennifer yuh nelson
the last airbender,action adventure family fantasy,avatar fire kingdom tribe water,seychelle gabriel,noah ringer,aasif mandvi,m. night shyamalan,action adventure family fantasy avatar fire kingdom tribe water seychelle gabriel noah ringer aasif mandvi m. night shyamalan
mission: impossible iii,action adventure thriller,arms dealer fictional government agency mission rescue vatican,philip seymour hoffman,tom cruise,eddie marsan,j.j. abrams,action adventure thriller arms dealer fictional government agency mission rescue vatican philip seymour hoffman tom cruise eddie marsan j.j. abrams
white house down,action drama thriller,black u.s. president president secret service tour white house,channing tatum,jake weber,matt craven,roland emmerich,action drama thriller black u.s. president president secret service tour white house channing tatum jake weber matt craven roland emmerich
mars needs moms,action adventure animation comedy family sci-fi,boy martian rescue robot sexism,elisabeth harnois,dan fogler,tom everett scott,simon wells,action adventure animation comedy family sci-fi boy martian rescue robot sexism elisabeth harnois dan fogler tom everett scott simon wells
flushed away,adventure animation comedy family,boat frog rat sewer toad,hugh jackman,kate winslet,david suchet,david bowers,adventure animation comedy family boat frog rat sewer toad hugh jackman kate winslet david suchet david bowers
pan,adventure family fantasy,1940s child hero fantasy world orphan reference to peter pan,hugh jackman,cara delevingne,nonso anozie,joe wright,adventure family fantasy 1940s child hero fantasy world orphan reference to peter pan hugh jackman cara delevingne nonso anozie joe wright
mr. peabody & sherman,adventure animation comedy family sci-fi,dog father son relationship inventor talking dog time travel,ty burrell,zach callison,karan brar,rob minkoff,adventure animation comedy family sci-fi dog father son relationship inventor talking dog time travel ty burrell zach callison karan brar rob minkoff
troy,adventure,greek mythology prince trojan troy,brad pitt,orlando bloom,julian glover,wolfgang petersen,adventure greek mythology prince trojan troy brad pitt orlando bloom julian glover wolfgang petersen
madagascar 3: europe's most wanted,adventure animation comedy family,animal circus island name in title lemur penguin,jada pinkett smith,martin short,cedric the entertainer,eric darnell,adventure animation comedy family animal circus island name in title lemur penguin jada pinkett smith martin short cedric the entertainer eric darnell
die another day,action adventure thriller,catfight clinic colonel diamond patricide,toby stephens,colin salmon,rick yune,lee tamahori,action adventure thriller catfight clinic colonel diamond patricide toby stephens colin salmon rick yune lee tamahori
ghostbusters,action comedy fantasy sci-fi,ghost ghostbuster ghostbusters male objectification reboot,ed begley jr.,kate mckinnon,zach woods,paul feig,action comedy fantasy sci-fi ghost ghostbuster ghostbusters male objectification reboot ed begley jr. kate mckinnon zach woods paul feig
armageddon,action adventure sci-fi thriller,asteroid astronaut bomb meteorite outer space,bruce willis,steve buscemi,will patton,michael bay,action adventure sci-fi thriller asteroid astronaut bomb meteorite outer space bruce willis steve buscemi will patton michael bay
men in black ii,action adventure comedy family fantasy mystery sci-fi,alien lingerie lingerie model m.i.b. pug,will smith,rosario dawson,rip torn,barry sonnenfeld,action adventure comedy family fantasy mystery sci-fi alien lingerie lingerie model m.i.b. pug will smith rosario dawson rip torn barry sonnenfeld
beowulf,action adventure animation fantasy,creature demon king reward warrior,robin wright,anthony hopkins,sebastian roché,robert zemeckis,action adventure animation fantasy creature demon king reward warrior robin wright anthony hopkins sebastian roché robert zemeckis
